tweet,stance
Las vacunaciones experimentales no tienen nada que ver...#FeijooDictador #FeijooCarcelero obligando a la vacunación no tiene nada que ver...Las residencias suman 110 contagios y el BNG pide que se investigue la de Laraxe#NosMienten https://t.co/voWZDj3TwH,AGAINST
"@bimbalablanca Parece que la vacuna de este año no ha hecho mucho efecto, estamos todos igual!",FAVOR
Los que se ríen del hastag  dando sus opiniones como si ellxs tuvieran la verdad absoluta.( hay que recalcar que esta gente ha estado en el laboratorio donde se creó la vacuna y por supuesto que tienen más conocimientos que el resto de la población ). https://t.co/9tS8r3L6UX,AGAINST
"Persona mayor con antecedente de ictus hace años. Se encuentra mal. Va al ambulatorio a pedir cita. Se la dan para 4 días después. Vuelve el día que le toca y le dicen que no, que vuelva dentro de una semana y así la miran y la ponen la vacuna del covid...una💩 pa todos ellos!!!",AGAINST
Recopilación de la opinión de más de 50 médicos que explican claramente por qué «las vacunas no son seguras ni eficaces» https://t.co/6SyVFq5TYl,AGAINST
Localizados los cadáveres de cuatro miembros de un equipo de vacunación contra la polio en Pakistán http://t.co/tSMSqkseDO vía @_infoLibre,NONE
"""@SuperSarcasmo_: Que te pongan una vacuna, gritar ""La base de datos de virus ha sido actualizada"" y huir dando saltitos."" JAJAJAJAJAJAJA",NONE
Por fin. Llegó el día. #VacunaCOVID19AP https://t.co/BZxBPZB4mN,FAVOR
Lara 14 años (recien cumplidos) impaciente porque le ponen la vacuna el 26 y no sabe como decir que habra llantos.. @LaraChaparro27,FAVOR
"No  hay para la vacuna de la varicela, pero ya se han gastado más de 7000 mill. En Defensa. Las prioridades están claras. Que nos jodan.",FAVOR
"Tanta alarma por el ebola, va a pasar como con na gripe A. Un producto para comercializar una vacuna. Me juego la mano a que es así.",AGAINST
""" La vacuna no será obligatoria "" Gracias Señor presidente @LuisLacallePou !!",AGAINST
Guarda @astro_duque un momento en la gala de la salud de @upsanalic en el @COMAlicante para lanzar un mensaje a favor de las vacunas  y la #ciencia #StopPseudociencias https://t.co/UFc5LzXtuw,FAVOR
"“@ClinicaOjeda: ¿Mantener la vacuna todo el año, incluso en los períodos sin síntomas? http://t.co/TW5h27wCX9” @Asmaler",NONE
"""@20m: Una vacuna contra el alzhéimer comienza ya la fase clínica de ensayo en seres humanos http://t.co/eWggehS78c"" @Saurus90 @snatsdf",NONE
Ja m’he vacunat! Ya me he vacunado!#JoEmVacuno  @hospitalclinic https://t.co/wYBK2SSSab,FAVOR
Pues Paal médico a ponerme la vacuna #mevaadolermucho,FAVOR
"Pues no a estado nada mal el dia,quitando la vacuna... -.- aber que tal se presenta la tarde con mis niñas :D",FAVOR
A Andorra a x la vacuna de la varicela van los padres que quieren vacunar a sus hijos Sanidad mantiene bloqueadas las dosis !!!No es broma!!,NONE
Acaban de anunciar una vacuna con un 5% más de eficacia que Pfizer porque es más MODERNA #cuñaooo,NONE
Vamos a ponernos la vacuna-.-,FAVOR
"Llegan las primeras vacunas, ante la desesperación del neofascismo y la derecha vicaria, que necesitan del virus. ",FAVOR
Vacuna para el ébola... Mmmm y si traemos las enfermedades olvidadas al primer mundo para que se recuerden? #maldadmatutina,NONE
"La vacuna mejorada tetravalente de la gripe incluye una cepa más, aumentando su capacidad de protección y disminuyendo las complicaciones",NONE
El 30% de las muertes de niños menores 5 años puede prevenirse con 1 simple vacuna.  http://t.co/n08I3UtSeo #todosvacunados via @unicef_es,FAVOR
"¡El mejor regalo! Ya queda muy poco para acabar con la pesadilla y volver a abrazarnos. Mientras tanto, mantengamos las medidas de seguridad, ¡ya queda muy poco! 😷 ↔️ 🕛#GraciasCiencia🔬 💉#SanidadPública https://t.co/CgeDDBsYTu",FAVOR
"Ya tenemos aquí el ébola, esto es lo que querían no? Ahora más contagiados sale la vacuna y laboratorio encargado ????? Millonarios perdidos",AGAINST
"Todavía alguien duda de uno de los objetivos fundamentales de la #Plandemia ?Vigilar y limitar la movilidad de las personas? Pasar por la vacuna, sea lo q sea eso y para lo q sea, será inevitable si quieres viajarDa igual la resolución europea 7.3.1, lo harán#SLR #COVID19 https://t.co/NPVuoCFYex",AGAINST
A ver si por fin me vacuno (@ Centro de salud Mislata II) http://4sq.com/lBtgxM,FAVOR
Aún me sigue doliendo la segunda vacuna xD Me voy a cenar y luego veo el cap y respondo~ #KisGonOff,FAVOR
@Candy_93_XRIZ  que vacuna es la del papiloma del cuello del utero?,NONE
En 1 hora tengo que ir a ponerme la ultima vacuna. Yupi.,FAVOR
Damos paso a los casos clínicos presentados por residentes en #Pediatría. ¡Adelante! ➡#SevillaHoy #VacunasIHP  https://t.co/HBhRyKpTBd,NONE
Esperando para la vacuna  :S,FAVOR
Vacas locas. Gripe A. Ébola... Apuesto a que ya están investigando una vacuna infalible que todos debemos comprar para sobrevivir.,AGAINST
"@JacoboMendioroz @no_dhont LO Q DIGO, X ESO NO SE HA MOLESTADO NADIE EN SACAR UNA VACUNA. NO HA ENFERMADO NADIE ""IMPORTANTE""",NONE
"Bueno ya paso Biden y Trump, volvamos al Virus, Vacuna y demás pendejadas https://t.co/zFRgPSb1I6",AGAINST
"Quiero dormir y tengo que ir a ponerme la vacuna, qué guay.",FAVOR
Por ponerme la vacuna me he ganado unos pendientes y un reloj así si👌👌👌👌,FAVOR
Toca la vacuna del mes.,FAVOR
Mañana vacuna:(((((( lloremos.,FAVOR
Sabes que se puede vacunar a partir de los 6 meses y disminuir su impacto? Acude a tu pediatra e infórmate sobre la vacuna de la gripe,FAVOR
"Buenos días a todos, menos a la vacuna de la gripe. Que parece ser que no sirve para nada :(",AGAINST
Investigadores identifican péptidos clave que podría conducir a una vacuna universal para la gripe: Los investig... http://t.co/L0OKEIMN,NONE
"No, no es una vacuna: Los doctores David Martin y Judy Mikovits exponen la mal llamada vacuna COVID https://t.co/ipphmh2a29",AGAINST
Desbloqueen la venta de la vacuna de la Varicela en las farmacias españolas https://t.co/BwCzbPudtc vía @change_es,NONE
"https://t.co/k3lMDPML0FCampos de concentración para quienes no acepten la vacuna, tercera ""oleada"" para reducción d población, desaparición propiedad privada, ingreso básico universal....y más 💩💩💩",AGAINST
Y hoy vacuna dios qué asco,FAVOR
"@JorgeGM_92 el decir que la vacuna es de USA no significa que con esa vacuna ya este curada , te recuerdo que esa mujer no ha pasado 2 días",NONE
"Covidiotas, ¿Por qué restringir a aquellos no vacunados el ingreso sino es solo para instaurar un régimen totalitario, además de coaccionar para que (casi) todos sean inyectados con una vacuna genocida? #Plandemia #Agenda2030 https://t.co/jPVjRyrkfC",AGAINST
La obesidad aumenta los riesgos vinculados al COVID-19 y reduce la eficacia de una vacuna contra el virus https://t.co/bsHEwgjXHH vía @BIEspana,NONE
"ahora que caigo, NOS TIENEN QUE PONER LA SEGUNDA VACUNA DEL PAPILOMA. 😭😭😭😭😭😭😭😭",FAVOR
Mal vamos si empezamos a decir que quienes se vacunan son unos valientes. ¿Estamos en guerra? ¿Por qué no «responsables»?,FAVOR
Quieres vacunar a tu hijo para q no pase la varicela?? Pues ahora no puedes!!Mas info aqui: http://t.co/keVyTVOd73,NONE
Interesados en ensayos con vacunas? 👇🏼#COVIDー19 #Vacunas  https://t.co/2JdfkNZSyr,NONE
"Compartir el hashtag  durante el mes de abril tiene premio.La @gatesfoundation aportará $ US1 a @UNICEF por cada publicación  en las redes sociales usando el hashtag  hasta un total de $ US1 millones¿Te animas?  Yo sí,  😉https://t.co/lSdf8UkrIO",FAVOR
@RafaelTimermans @chichodisanto A veces siento que debería ser aplicado a nivel mundial. Lamentablemente hay muchos profesionales sanitarios que se prestan - muchas veces por motivos económicos- al juego de los #antivacunas  #VaccinesSaveLives,FAVOR
Pues ya en la casa despues de estar en el medico poniendome la vacuna..,FAVOR
Vamos a unirnos para que la gentuza que quiere que no nos vacunemos salga perdiendo. Solo si nos unimos venceremos.,FAVOR
"La #gripe está a punto de llegar, ¡que no te pille sin vacunar! Nuestros compañeros del Hospital Civil se han volcado un año más con la vacunación 💉 Recuerda contactar con la Unidad de Vigilancia de la Salud si trabajas en el hospital #yosimevacuno  https://t.co/kUfMQilcdy",FAVOR
PORQUE COJONES ME TIENEN QUE PONER UNA VACUNA,AGAINST
Ya me han puesto la vacuna😣💉💪,FAVOR
"Vacuna, gotas y spray. ¡Viva el polen y las gramíneas!",FAVOR
"Según el fiscal, ""no hay evidencia tangible de causalidad entre la vacunación y la posterior muerte  de un anciano"" https://t.co/RHYNHFb35x",NONE
Es un escándalo que el Ministro @salvadorilla hace màrqueting pre-comercial de una promesa de vacuna sin datos científicos de su eficacia y seguridad. #malafarma#vendelamoto https://t.co/CwhzCnerlN,AGAINST
Mas de 900 niños melillenses recibiran en este año 2015 la vacuna del neumococo,NONE
"#VacunaCOVID19 | A todos los escépticos de la vacuna y a los que criticáis las cajas con las banderas: IROS A LA MIERDA!!! Os invito a pasar 13 horas seguidas trabajando en una residencia, se os pasarán las tonterías rápido. https://t.co/uXcwrvKepN",FAVOR
En marzo y abril soñábamos con este momento. Pues llegó 🔝 🙋🏻‍♀️ https://t.co/VeaFY9CJBD,FAVOR
Estados Unidos dejó de investigar una vacuna efectiva contra el ébola por la ausencia de mercado http://t.co/qq7WPUAnVX vía @_infoLibre,NONE
http://t.co/8wOOOAXRd3 El virus del papiloma humano y las consecuencias de la vacuna.,NONE
"Vale, los del  , así estéis sufriendo intubados vosotros, padres, hijos, hermanos... que sufráis penurias, pero no me jodais, yo, por si me cruzo con vosotros, #YoMeVacunare lástima no sea obligatorio",FAVOR
#ÉBOLA se desborda. Más de mil muertos. NO HAY VACUNA! #RSE #RSC #CSR @diarioresponsab @SustMeme @newsustentables https://t.co/91eu1rnzqM,NONE
ME VAN A TENER QUE MATAR. PREFIERO LA MUERTE A MORIR EN VIDA CON ESA VACUNA HOMICIDA https://t.co/7AHa0t0cNS,AGAINST
Notificación de acontecimientos adversos con las #vacunas #COVID19 @aemps y @sanidadgob https://t.co/H1tnkMleNt https://t.co/RPC5JdpkAh,NONE
¿Sabes cuáles son los colores de las #vacunas? 🧡💛💚💙Con @yoramonbarrera de @conzientemente finalizamos nuestros contenidos de las IV Jornadas. #VacunasIHP #SevillaHoy  https://t.co/UyQpgvxmfk,NONE
"Conducir a tu pueblo al genocidio programado con excusa sanitaria es una traición imperdonable, recuerden que ""Roma no paga a los traidores"".Casi 5 de cada 100 uruguayos inoculados con esos venenos génicos sufrirá consecuencias graves o morirá. Todo para salvarse de una gripe. https://t.co/tMGSy2TxCP",AGAINST
Ahora🥁🥁🥁Recuperando lo perdido  en IJornada de Vacunas del Mediterraneo @AIVFisabio @PepePediatre @MariaGarcesSnch https://t.co/KX4ZEfi7zr,NONE
"Desconozco la eficacia de esta vacuna, pero si Hungría, como estado soberano, quiere comprarlas y distribuirlas, ¿por qué la UE no lo permite? ¿No será para distribuir, es decir, comercializar, otra? Todo da mucho asco, pero que se comercie con nuestra salud es impresentable. https://t.co/mx4c0ggLfJ",FAVOR
"Pf, yo estoy mareadisima de la vacuna.",FAVOR
"Si Araceli puede , tú también . 🥺#TeamAraceli  https://t.co/81DWVKlwdL",FAVOR
"Coronavirus España directo: Moderna anuncia que su vacuna tiene un 94,5% de eficacia https://t.co/aSW06bsxtf vía @ABC_Conocer",NONE
ES : Desarrollan vacuna que bloquea propagación del VIH en monos http://t.co/N0sl0EqufN,NONE
"@javierdiezd En UK tienen recomendación y financiación de #Vacunas #gripe para niños &lt;5 años, además de &gt;65 años, embarazadas y grupos de riesgo . Con impacto de esa medida en los que eran los grupos con más incidencia  https://t.co/cs3ufs66bg",NONE
Acabo de salir de una suspensión de mi cuenta por mostrar. un artículo que habla sobre los efectos adversos de las #Vacunas. Lo cual deja en evidencia que para #Twitter todo lo que se diga en contra de la #Plandemia es. motivo suficiente para bloquearte.Hilo 👇👇👇,AGAINST
"Los primeros en vacunarse: ancianos en residencias y personal sanitario de primera líneaQuién se cree que le ponen LA MISMA ""VACUNA"" a los ancianitos de los geriátricos que a los sanitarios?Los más prescindibles para el sistema y los más necesarios en una crisis sanitaria",AGAINST
Pues una vacuna puesta hasta dentro de 6 meses,FAVOR
Hoy me han puesto el microchip 😜 Y a cambio me han dado esta hoja para rellenar en las próximas semanas. Ahora siento lo que experimentan los (mis) pacientes de ensayos clínicos. Me siento importante y todo 🤣  https://t.co/MjqjJrQ2PB,FAVOR
"Dato, me sigue doliendo la mano de la vacuna de ayer.",FAVOR
"Coronavirus: Moderna dice que su vacuna contra la COVID-19 tiene un 94,5% de eficacia. https://t.co/RboDcRTsrX",NONE
A vestirse que despues tengo que ir a echarme la vacuna #dudi,FAVOR
"Hasta ahora, el único efecto adverso que tengo es una reacción local en el lugar de la inoculación y dolor leve en el brazo. Esta mañana me sentía un poco rara, pero con un antigripal ya estaba perfecta. #VACÚNATE  💉🧬",FAVOR
"China revela que ya tiene vacuna contra el COVID-19,y autoriza los ensayos clínicos en los humanos .Instituciones chinas anunciaron que en abril pondrán en marcha ensayos clínicos para comprobar la eficacia de varias vacunas que el país está desarrollando contra el virus.",NONE
"Meningococo B, la FDA aprueba uso de  vacuna comercial contra esta variedad de la bacteria por primera vez: http://t.co/yAYawnh18n",NONE
Luz verde de la FDA a la vacuna de Moderna tras la comprobación de las especificaciones en eficacia y seguridad del fabricante. https://t.co/WJ0aIoYvPw,NONE
"@PabloMorenoArag @Meabanico Bueno, pues hagamos de epidemiólogos nosotros y cada día ponemos una medida nueva sin analizar la eficacia de las anteriores.  O confinamiento total hasta que haya vacuna o la gente se tire por un balate.",NONE
Vacunense covidiatas.Dos por uno. Os doy la mía. https://t.co/o1pzUqrYAh,AGAINST
"""Tendemos a una piedra filosofal, una vacuna universal en gripe. Estamos muy lejos"". JM Eiros #CIB2015",NONE
@lamamapediatra perdón por el tono! Solo no estoy de acuerdo con que se retire una vacuna por una suposición. Buena guardia!,FAVOR
Un pasito más para acabar con esta pandemia#StopCovid#Vacunate https://t.co/FvM8dELzJt,FAVOR
Desbloqueen la venta de la vacuna de la Varicela en las farmacias españolas http://t.co/nRatjYQsyl vía @change_es,FAVOR
"No sé si entendí bien, de acuerdo al @Dr_Julio_Medina vacunarse no hará que podamos tener una vida normal.Si la vacuna no es la ""excusa"" para bajar las medidas de prevención, entonces ¿para qué nos vacunamos?De verdad hay gente que va a tener que ver como sale huyendo en breve https://t.co/uUQvgJgwjt",AGAINST
"Que el ébola entre en un país no es culpa de los inmigrantes, es porque el capitalismo ha impedido que las farmacéuticas busquen vacuna.",FAVOR
Seguimos con la dictadura covidiana: Israel prohibirá a los no vacunados el acceso a algunos empleos. https://t.co/bYphA8uTa3,AGAINST
La junta de Andalucía no subvenciona la vacuna d varicela.El ministerio la quita d las farmacias.Aun pagando no se la puedes poner a tu hijo,NONE
"El ""síndrome de Hybris"" explica muchos comportamientos inexplicables. No me consta que se haya descubierto la correspondiente vacuna.",NONE
"@Balbi34773366 Ojala, la vacuna fuera tan facil de suministrar como la de la gripe.",FAVOR
"El próximo video no se si hacerlo sobre la película ""Lucy"" o sobre el origen de la posible vacuna del Ébola ¿Cuál preferís mejor?",NONE
Entonces el #GobiernoSocialcomunista si dices  nos pondrá en una lista..y me pregunto.. nos pondran una estrella amarilla o algo así para señalarnos?Y sí eres de @vox_es una verde a juego..#VacunaElectoral #VacunaCOVID19 #StopLeyCelaa #GobiernoDeLaMuerte,AGAINST
"¡Finalizamos nuestras IV Jornadas de Actualización en #VacunasIHP!Ha sido un placer contar con los más de 300 expertos en salud e inmunización pediátrica que nos han acompañado en estos dos días.¡Gracias a tod@s, nos vemos el año que viene en las V Jornadas! 😉 https://t.co/5BmoOcyqyf",NONE
"@RachelGoodvibes Es una VERGÜENZA, una auténtica BARBARIDAD!!! #AbusoInfantil #MaltratoInfantil Lo más triste es que harán exactamente lo mismo con la vacuna (bueno, ya lo estaban haciendo). #NoALaVacuna #NoToVaccine 😷💉🤑🤬🤮 https://t.co/LKhguFAV99",AGAINST
"Las cosas puras y sin contradicciones:- No te alegres de la eficacia de la vacuna, porque la ha creado una farmacéutica. - No te alegres de la derrota de Trump, porque Biden no es comunista.- No te alegres de nada hasta que no se nacionalicen los medios de producción.",AGAINST
🦠💉 claro que sí. Por mí y por nuestros mayores. @sanidadgob @salvadorilla https://t.co/Bo8Uio79Fr,FAVOR
@ep_aragon y que reclamen de nuevo que se pueda adquirir la vacuna de la varicela ?,NONE
Transición hacia la vacunación antineumocócica universal en España: propuesta del CAV-AEP http://t.co/WAj8grpl4z,NONE
a por la vacuna!!!! #gogo,FAVOR
"Escuchen. Más pruebas que las vacunas matan.Mark Zuckerberg viola su propia política ""antivaxxer"" https://t.co/bymMy0GSVd vía @YouTube",AGAINST
"#COVID19 Solo la evidencia científica , que nunca se ha apoyado  en titulares de prensa o en estrategias  políticas, podrá demostrar la eficacia de la vacuna . En la vida real, de momento, grandes esperanzas .",FAVOR
@elenatablada El sarampión reune las condiciones epidemiologicas de una infección erradicable. Cada vez hay menos casos en el mundo (...),NONE
Una pregunta para los expertos en microbiología @FeijooGalicia y @JuanMa_Moreno:¿¿Por qué se tienen que vacunar del covid los que pasaron el covid??,AGAINST
La vacuna cubano-argentina contra el cáncer de pulmón estará disponible en julio http://t.co/BgEQAXtfsJ vía @ActualidadRT,NONE
Salón de actos hasta la bandera en las #JORVAC2020. Profesionales sanitarios e interés por las #vacunas.  💉 https://t.co/RzrGvg0nuF,FAVOR
Mas de 250 contagiados en brote de Sarampion en Berlin. Gracias a las Bio-Muttis y a los pelmazos anti vacunas.,FAVOR
"""Una vacuna previene el 50% del herpes zóster - El http://t.co/9kmaesPgdq (España)"" http://t.co/LcaKNjD4H7",NONE
Ojalá...     Pfizer y BioNTech aseguran que la eficacia de su vacuna contra el COVID-19 supera el 90% https://t.co/2sDpYasuWX vía @La_SER,FAVOR
El jueves a las 8'15 analisis de sangre y a las 15 vacuna :-) ;-) :-) ;-) :-) ;-) :-) .,FAVOR
"Merkel anuncia pasaporte de vacunación para veranoLo digo y digo, y siempre me saltan con q es ilegal, q si 7.3.1, q si Nuremberg…mientras no entendáis q esto es un plan contra la humanidad y no un tema de dinero para farmacéuticas o algo así, mal va#SLR #COVID19 #Plandemia https://t.co/RoN4UQmAk7",AGAINST
Buenos días!! Hoy despertamos con la noticia de una vacuna con el 90% de eficacia.👏🏻👏🏻Parece que la pesadilla podría terminar pronto... Que tengáis buen #martes ❤️,FAVOR
Asi termina la gentede idiotizada.Haciéndose fan de un político y uno que les dice en la cara que que las vacunas son seguras cuando ni siquiera estan aprobadas. Que falta de cultura que tenemos por dios. https://t.co/RXTSTHmAfs,AGAINST
"@DANIELdoiser todo en la vida es un negocio, lamentable que no hayan investigado para vacuna del ebola hasta que han visto el negocio",NONE
"Llegan las vacunas para dejar atrás esta pesadilla, pero- Crees más en las conspiraciones sin sentido de los tarados contra la vacuna, difundiendo sus mensajes.- Desconfías del trabajo realizado por los científicos para hallar el primer remedio contra el virus.💉 ",FAVOR
Me acabo de poner la vacuna :3,FAVOR
Primeros vacunados con la vacuna de #moderna de momento sin efectos secundarios  #covid19 https://t.co/eo7kcLsWsq,FAVOR
Pues otra cosa hecha. Un pasito en esta lucha contra el bicho 💉💉 #FuckCovid19 #Coronavirus #EstoLoParamosEntreTodos en Hospital Universitario San Agustin https://t.co/HfbEkzbFfF,FAVOR
"🔴 ESTA VACUNA YA LA TENEMOS!!!🦠 SI ES ERES GRUPO DE RIESGO, VACÚNATE DE LA GRIPE!!!⏰ DEL 19/10 al 04/12☎️ 902 079 079-971 43 70 79VIA @goib @CSalutSantJosep @cssantoni @Centresalutvila @asef_ibsalut @salutgoib #vacúnate  #gripe  #primariaasef https://t.co/AV8hRVh7XU",FAVOR
@samantavillar tan raro raro raro q en pleno siglo XXl no haya vacuna aún ....,NONE
Principio del fin. Empieza la vacunación en España.A hacerlo bien y que terminemos cuanto antes con esta pesadilla.#covi̇d19 ,FAVOR
"Hoy es un gran día, comienza la campaña de vacunación contra la Covid19. Debemos formar e informar a la población, el único camino para vencer a este virus, es la vacuna, no hay alternativa, confiemos en la evidencia científica. Necesitamos más ciencia, no menos. ",FAVOR
@Podemos18 @Eldel_54 al parecer no hay vacuna que valga contra el.ebola,NONE
Una hora y media en el medico esperando a que me pongan una vacuna... En fin...,FAVOR
Llevo desde el jueves con gripe esto es una mierda...al año que viene me vacuno,FAVOR
“@MSF_espana: El coste de la #vacunación completa a un niño ha aumentado un 6.700% desde 2001 foto @IkramNGadi http://t.co/gDn6UR4BOu”,NONE
"Robert Mendelson pediatra en EEUU. Libro de 1985, How to raise a healthy childLas enfermedades para las cuales las vacunas se usaban desaparecieron en EEUU y Europa a la vez aún cuando solo se vacunaba masivamente en EEUU https://t.co/JJ20fNHlgZ",AGAINST
"Y no dicen que la vacuna experimental AstraZeneca contiene CÉLULAS EMBRIONARIAS DE RIÑÓN HUMANO genéticamente modificado, así como adenovirus de Chimpancé???🚨🚨🚨🚨🚨 https://t.co/W8O487PmGS",AGAINST
"SE ACABÓ LA VACUNA, MEDICAMENTOS Y TODO DE LA ALÉRGICA POR UN TIEMPOOO!!!!  :D :D",FAVOR
Mi artículo en @lavozdelsures: cuando me toque: ¿y tú? Necesitamos que también para avanzar hacia los abrazos con referencias a @EFEKEZE @Javisburgos @gorka_orive @alfredocorell @javierpadillab @CristinaCR82 @Canaria_32 @lovenursingmery y +✅https://t.co/e6Awd4RJEB https://t.co/5hbo0kZeSw,FAVOR
"""@quediario: Un grupo de investigadores prepara una vacuna gratuita contra el SIDA para 2016 http://t.co/f0ooFxxwnR""",NONE
"buenos días , a cojer el bus y al cole q suwño y encima dsp vacuna",FAVOR
Y hoy vacuna 💉 💉 💉,FAVOR
"Mi madre esta por llevarme a urgencias, es muy extraña esta reacción a la vacuna nunca me ha pasado, tengo hasta fiebre y no me mantengo.",FAVOR
El 18 tengo vacuna 😰,FAVOR
"""@MSF_espana:coste de vacunación completa a niño aumenta 6.700% desde 2001 foto @IkramNGadi http://t.co/2A1e5xJMXe"" @javiersolana",NONE
"México acepta reducir vacunas para ayudar a países más pobres; AMLO dice que no afectará plan: Pues ya que se dieron cuenta que esta vacuna va a ser una tragedia internacional, el ejemplo a seguir era Suecia @lopezobrador_ @HLGatell @m_ebrard https://t.co/RSf6KDDuTc",AGAINST
"""@RickenSecret: Buf, menuda semana: rehabilitación, vacuna, papeleos, asesorías... #SeñorLlevamePronto""  cuidate exagerado 💋",FAVOR
Gracias a la #ciencia hoy tenemos #vacunas que salvarán miles de vidas 🦠 🧬 💉 .  https://t.co/RNZicMYrVS,FAVOR
Paciente &gt; 50 años #vacuna herpes zoster antes de tto biológico #reuma,NONE
Gente clamando  que se esnifa matarratas pensando que es Speed.,FAVOR
"¿Por que está vacuna (a día de hoy, ya veremos cuando llegue a su fase V y se vea realmente la eficacia de la misma) será la solución cuando la inmunidad es menor incluso que la ya existente de una “forma natural”? 👇🏽",AGAINST
La vacuna hospitalaria de la varicela la fabrica un laboratorio distinto al de la vacuna de venta en farmacia. #dato #pista #uyuyuy,NONE
" Cuando leo este tipo de cosas, recuerdo a Darwin. Espero no os contagieis, pero si lo haceis, no ocupeis ni UCIs ni respiradores con GENTUZA IMBÉCIL Y EGOÍSTA COMO VOSOTROS",FAVOR
"Tras un breve descanso, retomamos nuestra siguiente mesa redonda: ¿sabes qué es lo que depara el futuro calendario vacunal de #Andalucía? 💉 @davidmorper e @IgnSalamanca nos cuentan más.#SevillaHoy #VacunasIHP  https://t.co/V5LF9fRsA9",NONE
"@jmsantanag @mamencrespo @agropopular @Jvical @DiazJoseda @crixavila @GermanPueblaO @Aloigaar @puertoen @losfosfonautas @Justo_francop @josevimister @jofecu @herminioiniguez @I_Sobrini @LuisMCabello @castburbu @AnaCuevasIraola @Inmawine Sigue, que hacen mucho bien. Dicen que @IdiazAyuso en su afán por mantener las vacunas refrigeradas, ha llevado su celo más allá.Dicho con todo el cariño. El vídeo de Madrid, del hijo de mi amigo Luis González, médico de Zafra, Luis, hace MIR psiquiatría en Madrid https://t.co/9FM4QbWwZZ",FAVOR
Y así te dicen que eres un irresponsable dudando de:Nuevos datos sobre la vacuna de Oxford arrojan dudas sobre su auténtica eficacia https://t.co/zZvkMGqSVY vía @el_pais,AGAINST
"@doctorgaona pues veremos que pasa aquí con la #varicela y la retirada de #vacunas, jugando con la salud de los más pequeños",FAVOR
Mñn vacuna voy a querer morirme 😲😭🙈👎,FAVOR
Primera vacuna puesta^^,FAVOR
"Primero, se gente. Ser educado es gratis y tiene mejores resultados.Segundo, informate mejor. https://t.co/5py3SB7it7https://t.co/VR9Di5kFL0La ivermictina está comprobada científicamente, todas las vacunas están circulando en modo experimental de emergencia. https://t.co/62AKoXSJD5",NONE
Y si esto del Ébola es otro invento más de las grandes farmacéuticas seguramente en unas cuantas semanas salga la vacuna por milagro divino.,AGAINST
En serio el treinta me ponen una vacuna me siento cuando voy al veterinario y veo cómo sufre mi perra.,FAVOR
"Nariz goteando, garganta hecha polvo.Para que carajo me puse la vacuna contra la gripe :-(",FAVOR
"#NosMienten la inoculación de la vacuna experimental sin garantías, no evita usar la mascarilla, distancia, contagio y padecer la enfermedad.#FeijooDictador y su #NoLeyAuschwitz para arruinar GALICIA y hacernos dependientes del Estado.DICTADURA GLOBALISTA.#FeijooTraidor https://t.co/fM5XeXOkRF",AGAINST
"Las vacunas no solo no frenan las muertes ni los contagios en las residencias holandesas, sino que encima las aumentan. https://t.co/714jycrAXw",AGAINST
Autoridades de #EEUU confirman que la trabajadora sanitaria de Dallas tiene #ébola. Mal de muchos (occidentales)... ¡vacuna! #objetivoEbola,NONE
"Manda cojones que Araceli haya sido la primera persona en vacunarse de España (algo histórico por la gravedad de la pandemia, la rapidez con la que ha llegado la vacuna y por la eficacia de la misma) y esta sociedad no sea capaz de mantener este hecho como algo serio e importante",FAVOR
Deseando ponérmela en cuanto me toque. 👏🏻  #VayaQueSiMeVacuno #DetenteCovid #AquíEstáMiBrazaco https://t.co/wpldybiWSj,FAVOR
"La viróloga Margarita del Val confía en la eficacia de la vacuna contra el coronavirus, aunque advierte del peligro de los efectos secundarios https://t.co/RcKmgSFv00",NONE
"La consigna de los tertulianos de tv q forman la opinión pública es:""Si no se quieren vacunar, que no se vacunen, pero que no salgan de casa, que no viajen, que no vayan a restaurantes, que no vayan a espectáculos....""Les falta decir ""que no trabajen y se mueran de hambre""😠",AGAINST
"Darles su primer biberón,  su primer baño y ponerles su primera vacuna :D #SatisfacciónEnfermera",FAVOR
Ea pues otro año más con la vacuna puesta!!,FAVOR
Una web que lleva la cuenta de las muertes achacables al movimiento antivacunas: http://t.co/LcQR1q9rTq,FAVOR
V de vacuna y V de vida #Vacúnate #Vacúnalo @SaludNorteMalag https://t.co/3R7XaSUuvS,FAVOR
"Señora @azucenau yo no la sintonizo en casa ni a nadie, pero la escucho tan emocionada por las vacunas (experimentos genéticos) que con mucho gusto le dono mis dosis a usted o a un ser querido suyo.",AGAINST
"“@roipipe: Papás antivacunas ¿Un derecho o un riesgo para la comunidad? Para mí, un riesgo http://t.co/QkKyhSNDtz”",FAVOR
✅Buenas noticias: la @EMA_News da luz verde a la vacuna de Pfizer y BioNTech. ➡️➡️Seguimos dando pasos hacia ese horizonte de esperanza ,FAVOR
Hay un brote de sarampión en USA xq una petarda que ganó el Razzie en 2006 a la peor actriz dijo en la tele q las vacunas provocaban autismo,FAVOR
Mañana como tengo vacuna y hay excursión me levanto a las 10 y tan feliz,FAVOR
Solicitando entrar en los planes de vacunación #COVID19 🤞🏻🍀 @GVAsanitat  https://t.co/WPDjsd6mHH,FAVOR
Empezamos con las vacunas en el hospital  #VacunaCOVID19 https://t.co/KBgdNRQbIE,FAVOR
